"E1";"E2";"E3";"E4";"E5";"E6"
2.49641;2.5238;5.03511;4.54837;2.31055;4.4571
2.38224;2.3788;4.74429;4.40504;2.1897;4.29361
2.35671;2.37644;4.68691;4.35518;2.1735;4.24493
2.36754;2.37828;4.71954;4.38383;2.18539;4.2796
2.3786;2.3774;4.69578;4.38734;2.19692;4.30354
2.36241;2.35701;4.63081;4.32422;2.18302;4.25451
2.3618;2.356;4.63608;4.34426;2.17325;4.2298
2.36538;2.36309;4.64839;4.34055;2.1823;4.26161
2.37404;2.37722;4.70788;4.40615;2.19335;4.30682
2.37366;2.36131;4.68226;4.38095;2.19567;4.28311
2.41492;2.41536;4.65497;4.39191;2.22689;4.33181
2.3609;2.36188;4.65214;4.38522;2.20737;4.31639
2.39149;2.384;4.65692;4.42457;2.20511;4.30517
2.41162;2.4056;4.69123;4.42729;2.23651;4.3141
2.39139;2.39062;4.65354;4.41718;2.21452;4.32189
2.37182;2.3804;4.63648;4.37315;2.20868;4.30508
2.3837;2.38212;4.64936;4.4022;2.2075;4.30334
2.3779;2.3756;4.67413;4.41295;2.21416;4.32623
2.39655;2.38195;4.61437;4.38965;2.22806;4.28763
2.37817;2.36424;4.58255;4.36199;2.21494;4.2838
