"E1";"E2";"E3";"E4";"E5";"E6"
1.55759;1.15963;3.70232;3.12033;1.30336;2.09192
1.47862;1.02463;3.72521;3.27749;1.24012;2.07548
1.53319;1.0426;3.2711;2.71707;1.265;2.09861
1.41776;1.01512;2.55203;2.61623;1.22925;2.09733
1.5066;1.03053;2.58328;2.60272;1.24139;2.10152
1.4388;1.05605;2.55832;2.61762;1.23984;2.10505
1.53486;1.02382;2.57557;2.63632;1.2756;2.10105
1.41811;1.03109;2.54008;2.58646;1.28844;2.09659
1.46262;1.0224;2.5637;2.58286;1.222;2.52437
1.43385;1.04457;2.5486;2.6174;1.24363;2.21113
1.53431;1.04189;2.59027;2.58431;1.24622;2.35822
1.32293;1.03785;3.53353;2.94778;1.25682;2.07278
1.45908;1.02627;3.55246;2.9606;1.18676;2.09982
1.33453;1.0345;2.55642;2.63344;1.21405;2.06947
1.5394;1.08676;3.74614;3.56534;1.29698;2.12437
1.35868;1.02807;2.5763;3.32812;1.26174;3.43334
1.39391;1.02393;2.562;2.6478;1.22481;2.10329
1.57965;1.13648;2.59997;2.60528;1.30929;2.11107
1.47805;1.01502;2.57089;2.61147;1.28469;2.10075
1.39497;1.54506;2.57452;3.50541;1.27714;3.37037
