"E1","E2","E3","E4","E5","E6"
"1.07559","1.09413","2.16988","2.18203","1.0294","2.12181"
"1.07089","1.0867","2.15593","2.1388","1.02627","2.09145"
"1.0684","1.08258","2.1354","2.13724","1.02941","2.10202"
"1.06522","1.08786","2.11937","2.13113","1.03289","2.09799"
"1.07375","1.07221","2.12322","2.14131","1.03226","2.10886"
"1.0741","1.06868","2.11918","2.1242","1.02725","2.09706"
"1.07125","1.08129","2.12689","2.12083","1.03308","2.08277"
"1.12703","1.37947","2.12777","2.11497","1.03842","2.09722"
"1.07895","1.07972","2.14263","2.1648","1.04926","2.10742"
"1.08395","1.09476","2.67334","2.12284","1.03102","2.14194"
"1.11133","1.10662","2.14779","2.21784","1.0156","2.07183"
"1.08091","1.07718","2.12605","2.13104","1.03306","2.15311"
"1.07874","1.08114","2.13346","2.13994","1.03791","2.08753"
"1.11215","1.08354","2.14224","2.24002","1.09073","2.09908"
"1.07708","1.07468","2.12431","2.13094","1.03511","2.09168"
"1.0743","1.07236","2.11699","2.11854","1.04228","2.08837"
"1.07005","1.14786","2.25905","2.25969","1.09576","2.08909"
"1.07134","1.07578","2.10893","2.11474","1.04649","2.09348"
"1.08467","1.0608","2.13638","2.12555","1.02768","2.09164"
