"E1","E2","E3","E4","E5","E6"
"11.18735","11.23566","70.67644","76.03755","8.74017","66.89589"
"11.22694","11.23523","68.51261","76.74078","8.7253","66.17975"
"11.22828","11.25903","68.92894","77.24089","8.7562","65.84241"
"11.31658","11.29739","68.73518","77.00689","8.77395","66.10192"
"11.12395","11.27032","68.63681","77.30482","8.7369","66.40556"
"11.15013","11.36087","68.99116","76.61894","8.70824","65.79777"
"11.15614","11.31802","69.06187","69.03674","8.80397","66.04817"
"11.10457","11.4249","69.12599","70.39265","8.76491","66.89149"
"11.1676","11.4527","69.37733","69.26188","8.78621","66.76541"
"11.21371","11.37747","77.24792","69.97715","8.82876","66.83063"
"11.27715","11.42061","76.945","69.86485","8.79877","66.20992"
"11.23752","11.38251","77.43401","76.27889","8.71615","66.76062"
"11.26785","11.48349","67.95791","76.43554","8.83241","65.91583"
"11.25091","11.36859","69.12499","76.48999","8.83287","66.44219"
"11.30831","11.38242","69.42669","77.12806","8.78784","66.41295"
"11.25736","11.38644","68.41243","68.84122","8.82861","66.23713"
"11.20921","11.35177","77.1011","69.90922","8.75622","65.77059"
"11.2691","11.3968","68.11693","69.01584","8.73679","66.10774"
"11.25408","11.42955","76.53801","69.68194","8.82112","66.01565"
"11.22632","11.46898","69.03575","68.36085","8.77644","65.46225"
