"E1","E2","E3","E4","E5","E6"
"1.08335","1.0812","1.10348","1.09672","1.08958","2.15524"
"1.0771","1.10344","1.1163","1.10277","1.07619","2.13037"
"1.07627","1.08788","1.08965","1.09341","1.05686","2.12963"
"1.07767","1.0904","1.10956","1.08498","1.09029","2.15296"
"1.09675","1.09922","1.08814","1.11498","1.07919","2.12522"
"1.07658","1.10087","1.09039","1.07883","1.0866","2.16445"
"1.0788","1.10087","1.0896","1.11036","1.06658","2.12727"
"1.10307","1.07966","1.11134","1.09534","1.07476","2.14043"
"1.09953","1.16164","1.09442","1.1906","1.0878","2.15495"
"1.13326","1.09627","1.12381","1.10724","1.10158","2.17314"
"1.38951","1.09466","1.10803","1.10105","1.10007","2.18675"
"1.11054","1.1001","1.10267","1.10393","1.12366","2.16612"
"1.09901","1.10045","1.11235","1.1137","1.0952","2.19602"
"1.10299","1.10303","1.10646","1.10295","1.09648","2.19965"
"1.1297","1.09969","1.1357","1.1062","1.096","2.21079"
"1.09383","1.09215","1.12323","1.11888","1.10524","2.16586"
"1.11836","1.10358","1.11306","1.12996","1.08558","2.16448"
"1.0933","1.09663","1.10734","1.10145","1.10774","2.1661"
"1.10058","1.10285","1.1039","1.19438","1.13757","2.17979"
"1.11887","1.09829","1.10835","1.10735","1.09822","2.16092"
