"E1","E2","E3","E4","E5","E6"
"1.13724","1.13152","2.26422","2.16026","1.05738","2.11906"
"1.09844","1.09791","2.18551","2.17737","1.06072","2.27274"
"1.06618","1.06822","2.14806","2.13287","1.05372","2.20456"
"1.05828","1.05162","2.13412","2.13901","1.04641","2.12979"
"1.07012","1.06618","2.40222","2.18553","1.06094","2.15383"
"1.06895","1.06132","2.14939","2.1485","1.05962","2.14108"
"1.06802","1.06514","2.15309","2.14068","1.05655","2.12901"
"1.0682","1.0547","2.1519","2.14203","1.04936","2.1272"
"1.06013","1.06879","2.16096","2.14418","1.03999","2.13688"
"1.17747","1.1258","2.19656","2.13593","1.05272","2.12618"
"1.07836","1.14301","2.33706","2.24329","1.09989","2.25076"
"1.08036","1.76384","2.1506","2.16301","1.06365","2.15624"
"1.14889","1.18254","2.30302","2.30651","1.05575","2.13229"
"1.08039","1.06915","2.17782","2.16418","1.07095","2.15579"
"1.06985","1.06745","2.17589","2.16246","1.05448","2.16526"
"1.14567","1.11105","2.30698","2.23764","1.06392","2.13682"
"1.0938","1.0771","2.16679","2.14084","1.04639","2.1331"
"1.05916","1.06279","2.15292","2.13548","1.06013","2.12002"
"1.07712","1.08231","2.14331","2.23157","1.05368","2.13678"
"1.06614","1.05702","2.13962","2.14344","1.03911","2.10173"
