"E1","E2","E3","E4","E5","E6"
"12.01708","11.6929","76.93896","76.64012","8.68197","66.80803"
"12.03932","11.68708","77.8049","69.62123","8.69145","65.93067"
"12.06282","11.72907","77.55811","77.2184","8.70498","66.66389"
"12.19095","11.67829","76.82327","76.72929","8.67621","66.14391"
"12.0525","11.80943","76.52945","76.64324","8.71385","66.14529"
"12.04531","11.80734","68.75852","75.39496","8.69548","65.53471"
"12.11186","11.72125","76.2635","67.84775","8.671","65.59535"
"12.12251","11.95755","76.33918","68.31599","8.69975","65.53378"
"12.1207","11.77597","68.41753","69.85929","8.81193","64.89938"
"11.57764","11.66184","76.38584","75.03241","8.58299","65.80596"
"11.85901","11.79798","69.73281","76.0037","8.73082","65.30589"
"11.67314","11.71121","69.07632","75.92335","8.58854","65.48085"
"11.55169","11.75136","76.15287","68.25652","8.60895","65.77891"
"11.52779","11.69281","76.23434","76.09785","8.68575","65.38678"
"11.50217","11.69705","69.75929","76.20168","8.56954","65.04487"
"11.56748","11.6765","75.3714","68.91978","8.60777","65.03724"
"11.5592","11.86539","68.83189","76.18973","8.80163","65.42359"
"11.56797","11.6948","69.19322","67.80582","8.63025","65.60931"
"11.58937","11.62226","69.26968","76.17364","8.63821","64.75063"
