"E1","E2","E3","E4","E5","E6"
"1.0739","1.07664","1.11054","1.11162","1.0756","2.13366"
"1.07605","1.07787","1.09696","1.08735","1.0697","2.1311"
"1.10106","1.08015","1.0807","1.11152","1.08805","2.13573"
"1.07666","1.07253","1.07608","1.08204","1.0687","2.11923"
"1.09445","1.07594","1.10647","1.07637","1.06579","2.12136"
"1.08514","1.06397","1.10477","1.10381","1.07388","2.12804"
"1.0666","1.07334","1.07968","1.0811","1.10071","2.11641"
"1.0897","1.13415","1.08604","1.07953","1.07212","2.1268"
"1.075","1.07067","1.09058","1.12321","1.15381","2.1592"
"1.09455","1.0937","1.10503","1.08007","1.07921","2.13107"
"1.11484","1.11929","1.10974","1.09156","1.14068","2.11619"
"1.07947","1.08378","1.08579","1.12068","1.09407","2.16209"
"1.07114","1.09851","1.08558","1.09041","1.07704","2.14378"
"1.07843","1.0908","1.11857","1.1523","1.14811","2.13689"
"1.07451","1.09579","1.08906","1.08662","1.08246","2.12468"
"1.1015","1.07897","1.08611","1.08071","1.06948","2.12969"
"1.08794","1.13447","1.13109","1.12513","1.14027","2.22141"
"1.09183","1.07991","1.08254","1.07723","1.08801","2.14703"
"1.08224","1.07831","1.08926","1.09378","1.07488","2.26892"
