"E1","E2","E3","E4","E5","E6"
"1.15526","1.15264","3.38082","2.1765","1.04124","2.14809"
"1.06069","1.08139","2.15431","2.11861","1.037","2.10188"
"1.05553","1.07079","2.112","2.117","1.04003","2.1008"
"1.05332","1.05432","2.1244","2.11658","1.04085","2.08795"
"1.04912","1.05611","2.10059","2.10777","1.0286","2.09595"
"1.06603","1.06815","2.11523","2.1137","1.03977","2.10604"
"1.0607","1.06036","2.11696","2.1122","1.03461","2.09142"
"1.05708","1.05767","2.11609","2.11466","1.04713","2.08217"
"1.11062","1.06047","2.14726","2.11841","1.02661","2.0947"
"1.08867","1.08136","2.12684","2.13951","1.0511","2.11578"
"1.07548","1.07828","2.13302","2.14106","1.05516","2.15299"
"1.07713","1.08993","2.16463","2.14508","1.05971","2.12715"
"1.07563","1.07678","2.16713","2.14441","1.05609","2.1469"
"1.07572","1.07199","2.14412","2.13621","1.05343","2.12546"
"1.06579","1.0802","2.13762","2.14656","1.05662","2.11384"
"1.08133","1.07915","2.13161","2.14736","1.04218","2.12944"
"1.0699","1.06762","2.12419","2.12485","1.05978","2.1086"
"1.06652","1.06652","2.13098","2.11906","1.05684","2.12959"
"1.07495","1.07535","2.25542","2.17329","1.09176","2.11955"
"1.06932","1.0694","2.13793","2.13704","1.05754","2.11071"
