"E1","E2","E3","E4","E5","E6"
"1.06196","1.06562","2.14492","2.15728","1.04921","2.12793"
"1.07384","1.06245","2.13912","2.14428","1.05497","2.11921"
"1.06075","1.07079","2.15985","2.13868","1.05644","2.12339"
"1.0635","1.06873","2.1525","2.15351","1.04857","2.13615"
"1.06462","1.06203","2.1278","2.14227","1.05527","2.11722"
"1.06275","1.06949","2.12845","2.15018","1.04751","2.13468"
"1.06747","1.06988","2.16329","2.13851","1.06404","2.11778"
"1.07098","1.06388","2.15624","2.15739","1.04801","2.12646"
"1.09275","1.12149","2.14296","2.31136","1.05323","2.13226"
"1.0845","1.09257","2.18995","2.20101","1.07243","2.16252"
"1.0868","1.09091","2.18623","2.18716","1.06195","2.15626"
"1.08938","1.0974","2.20646","2.22291","1.07987","2.15609"
"1.08396","1.09047","2.1932","2.21229","1.08738","2.17199"
"1.08823","1.0836","2.19185","2.1854","1.08162","2.16955"
"1.08985","1.0856","2.17407","2.19899","1.06749","2.17411"
"1.08042","1.08565","2.17723","2.16355","1.08146","2.1514"
"1.08273","1.07727","2.18228","2.17332","1.05652","2.16283"
"1.0751","1.084","2.18985","2.17522","1.05958","2.15452"
"1.0829","1.09665","2.18999","2.50453","1.09998","2.50098"
"1.08496","1.08482","2.18828","2.16652","1.07232","2.1696"
