"E1","E2","E3","E4","E5","E6"
"11.82176","11.5268","76.85399","75.93013","8.87149","65.27701"
"11.7852","11.28901","75.02997","75.16446","9.01396","66.28897"
"11.5931","11.30349","68.18169","68.3284","8.93322","65.54961"
"11.40768","11.2086","75.16987","67.65565","8.8067","63.85087"
"11.47442","11.25063","67.55061","67.94873","8.96283","64.66878"
"11.51889","11.24687","74.28979","74.62095","8.85095","64.14998"
"11.45092","11.17673","67.96754","67.70788","8.84067","65.15443"
"11.50861","11.24394","67.59698","66.41842","8.7824","64.25662"
"11.53351","11.29253","66.24241","75.52927","8.7741","63.72079"
"11.83362","11.37794","76.13585","75.14705","8.85011","64.92802"
"12.07633","11.7404","68.39623","69.35062","9.20215","65.69956"
"11.5692","11.28452","67.89423","75.65338","8.86231","65.27118"
"11.71679","11.62846","68.97556","75.12255","8.89933","64.73678"
"11.68047","11.27265","75.31285","75.34645","8.88264","65.38646"
"11.53991","11.4553","68.29329","69.08337","8.93377","65.0324"
"11.74775","11.41413","68.06505","69.75318","8.88969","65.08427"
"11.73875","11.30698","75.81751","75.63422","8.8259","65.70157"
"11.46347","11.4069","75.55376","67.25093","8.88231","65.80023"
"11.74378","11.32182","75.61656","75.74901","8.79337","64.57193"
"11.50407","11.2321","75.50851","67.63719","8.82549","64.60281"
