"E1","E2","E3","E4","E5","E6"
"1.1738","1.17041","1.11319","1.0938","1.06494","2.14048"
"1.09782","1.11123","1.09299","1.0992","1.0812","2.35744"
"1.0796","1.07202","1.1013","1.07368","1.08464","2.19965"
"1.09441","1.07634","1.10725","1.09044","1.0678","2.1311"
"1.0781","1.11397","1.26252","1.10037","1.08255","2.15523"
"1.07943","1.11022","1.0968","1.08725","1.0739","2.149"
"1.11024","1.08679","1.125","1.11123","1.07714","2.14018"
"1.09646","1.11501","1.11075","1.09596","1.0623","2.13658"
"1.08542","1.08788","1.09883","1.11321","1.09407","2.14634"
"1.20956","1.15644","1.12571","1.08152","1.1044","2.13707"
"1.10278","1.20792","1.18318","1.15863","1.16378","2.23489"
"1.10977","1.09758","1.09137","1.12849","1.07576","2.16532"
"1.14755","1.22182","1.14709","1.15634","1.09515","2.14174"
"1.09661","1.11048","1.10793","1.11654","1.07777","2.14913"
"1.08379","1.11092","1.1078","1.09981","1.10169","2.18822"
"1.19721","1.1577","1.20524","1.14717","1.0991","2.14889"
"1.14275","1.09822","1.12924","1.08586","1.07162","2.13201"
"1.06956","1.1008","1.08185","1.08576","1.10305","2.14056"
"1.09667","1.12548","1.12303","1.13753","1.06878","2.13811"
"1.08101","1.11008","1.10192","1.07982","1.07572","2.12555"
