"E1";"E2";"E3";"E4";"E5";"E6"
50.58114;51.49185;158.1483;159.9595;40.83974;146.07545
50.09636;51.62039;158.24764;159.63704;40.31592;146.07357
50.06401;51.35046;157.36976;159.93951;40.57219;145.85743
50.3329;52.04029;157.6002;151.33263;40.2499;146.38177
50.12778;51.4416;157.57076;150.92844;40.08562;146.68889
50.35587;52.01818;158.21003;151.36873;41.65255;146.39823
50.09399;51.43269;156.97859;150.4717;40.74325;145.46991
50.01633;51.69581;157.2981;151.5016;40.40614;145.6919
50.30296;51.89621;158.00585;150.74963;40.14354;147.23354
50.14515;51.74229;157.95291;151.03058;40.58678;146.99985
49.26539;50.51023;155.61548;148.71103;40.14221;144.92547
50.29437;52.29877;157.35269;159.35358;40.57301;145.37577
50.09058;51.62946;157.41777;159.41337;41.62846;145.74926
49.96761;51.94256;157.20816;150.2703;40.20792;145.79101
50.74175;51.86422;158.15879;158.83309;40.60922;144.87957
50.14813;52.033;158.49152;150.65071;40.5548;149.24229
49.75947;51.43195;156.95539;149.79634;40.32158;145.21177
50.1677;51.17883;157.54929;150.71259;40.30857;145.87654
50.39451;51.98946;157.83527;151.30053;42.12768;146.66018
51.39864;51.00232;158.98525;150.85573;40.21243;150.17927
