"E1";"E2";"E3";"E4";"E5";"E6"
1.33969;1.58202;1.24649;1.89906;1.26621;2.17539
1.18106;1.45854;1.38624;1.85608;1.35022;2.1451
1.21895;1.55967;1.27632;1.85592;1.32467;2.13936
1.22806;1.39011;1.29074;1.31483;1.26921;2.13085
1.20915;1.51454;1.293;1.26946;1.25184;2.16207
1.22117;1.38247;1.28554;1.28741;1.25178;2.15336
1.23648;1.53176;1.28712;1.2828;1.30903;2.11544
1.22276;1.40484;1.27289;1.24112;1.29419;2.14631
1.21977;1.45414;1.28565;1.58613;1.27934;2.15163
1.23206;1.43543;1.30233;1.34218;1.33194;2.11733
1.20914;1.59527;1.29478;1.44686;1.23823;2.1102
1.22014;1.253;1.27152;1.87476;1.33366;2.10334
1.19812;1.43413;1.27401;1.878;1.27883;2.11317
1.22008;1.31004;1.28397;1.26256;1.33194;2.11456
1.28893;1.5673;1.6873;1.86667;1.30974;2.14093
1.19591;1.28489;1.2797;1.74075;1.30727;2.56145
1.21018;1.40921;1.30064;1.29311;1.3387;2.13714
1.2714;1.61519;1.28902;1.2735;1.31705;2.10073
1.22995;1.42811;1.28705;1.28718;1.22282;2.14259
1.71788;1.61678;1.30232;1.77883;1.27392;3.00471
